station_id;address;elev
54036;Lower Kaweah Campground, Sequoia National Park CA;1926
54568;310 N. Church St, Visalia CA 93291;102
55930;251 S. Barretta St, Sonora CA 95370;579
56172;1201 E. Ojai Av, Ojai CA 93023;236
56434;5400 Cochran St, Simi Valley CA 93063;316
56435;2323 Moorpark Rd, Thousand Oaks CA 91360;247
56436;545 Central Av, El Rio CA 93030;40
56437;2801 Madera Rd, Simi Valley CA 93063;288
56450;Pacific Av, Piru CA;194
57570;132 W. 15th St, West Sacramento CA 95691;18
57577;Campbell Rd, Davis CA 95616;19
57582;41929 E Gibson Rd, Woodland CA 95776;17
60337;3466 La Mesa Dr, Hayward CA 94542;295
60341;9885 Alcosta Blvd., San Ramon CA 94583;120
60342;13224 Patterson Pass Road, Livermore CA 94550;527
60344;793 Rincon Ave, Livermore CA 94550;138
60347;9925 International Blvd., Oakland CA 94603;11
60349;1100 21st Street, Oakland CA 94607;4
60351;E 8th Street, Parking Lot, Aisle J, Oakland CA 94607;4
70032;5895 Long Beach Blvd, Long Beach CA 90806;12
70042;Rail ,  CA;53
70043;500 S. 7th Ave., City of Industry CA 91746;91
70044;4010 E. 26th Street, Vernon CA 90058;53
70045;9440 Ann Street, Santa Fe Springs CA 90670;44
70046;8822 Etiwanda Ave, Rancho Cucamonga CA 91739;347
70060;803 N. Loren Av, Azusa CA 91702;189
70072;3648 N. Long Beach Bl, Long Beach CA 90807;29
70073;2425 Webster Ave, Long Beach CA 90810;6
70074;18330 Gault St, Reseda CA 91702;225
70075;924 N. Garey Av, Pomona CA 91767;273
70087;1630 North Main Street, Los Angeles CA 90012;92
70088;752 S Wilson Av, Pasadena CA 91702;227
70090;22224 Placerita Canyon, Santa Clarita CA 91321;388
70091;Wilshire Bl & Sawtelle, Los Angeles CA 90025;92
70110;1305 E. Pacific Coast Hwy, Long Beach CA 90806;7
70111;7201 W Westchester Parkway, Los Angeles CA 90045;37
70112;700 North Bullis Rd, Compton CA 90221;22
70185;4144 San Gabriel River Pkwy., Pico Rivera CA;58
70301;43301 Division St, Lancaster CA 93535;750
70591;840 Laurel Av, Glendora CA 91741;279
80114;80 E. J St., Chula Vista CA 91910;55
80117;2192 Palomar Airport Rd., Carlsbad CA 92011;99
80128;2505 W. Victoria Dr, Alpine CA 91901;623
80132;W. Bradley Ave & Floyd Smith Dr, El Cajon CA 92020;119
80133;215 9th St, Del Mar CA 92014;38
80135;533 S. First Street, El Cajon CA 92019;143
80136;6125A Kearny Villa Road, San Diego CA 92145;134
80140;480 Alta Road, San Diego CA 92179;205
80142;1110A Beardsley St, San Diego CA 92112;7
80143;795 East San Ysidro Blvd, San Diego CA 92173;21
80198;21441 West B St, Camp Pendleton CA 92019;16
80201;11403 Rancho Carmel Drive, San Diego CA 92128;218
90306;10 Arkansas St, San Francisco CA 94107;5
